[2025-04-14T07:14:58.529+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.056s]
[2025-04-14T07:14:58.609+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.056s]
[2025-04-14T07:14:58.675+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.046s]
[2025-04-14T07:14:58.741+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.045s]
[2025-04-14T07:14:58.804+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.044s]
[2025-04-14T07:14:58.868+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.045s]
[2025-04-14T07:14:58.945+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.057s]
[2025-04-14T07:14:59.014+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.047s]
[2025-04-14T07:14:59.092+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.053s]
[2025-04-14T07:14:59.166+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.052s]
[2025-04-14T07:14:59.242+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.053s]
[2025-04-14T07:14:59.333+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.065s]
[2025-04-14T07:14:59.405+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.049s]
[2025-04-14T07:14:59.479+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.051s]
[2025-04-14T07:14:59.562+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.054s]
[2025-04-14T07:14:59.639+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.054s]
[2025-04-14T07:14:59.708+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.047s]
[2025-04-14T07:14:59.785+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.054s]
[2025-04-14T07:14:59.863+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.055s]
[2025-04-14T07:14:59.935+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.050s]
[2025-04-14T07:15:00.007+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.048s]
[2025-04-14T07:15:00.083+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.052s]
