[2025-04-13T17:44:55.106+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.082s]
[2025-04-13T17:44:55.218+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.077s]
[2025-04-13T17:44:55.395+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.141s]
[2025-04-13T17:44:55.526+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.097s]
[2025-04-13T17:44:55.660+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.095s]
[2025-04-13T17:44:55.766+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.078s]
[2025-04-13T17:44:55.861+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.064s]
[2025-04-13T17:44:55.952+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.062s]
[2025-04-13T17:44:56.049+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.069s]
[2025-04-13T17:44:56.134+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.059s]
[2025-04-13T17:44:56.214+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.051s]
[2025-04-13T17:44:56.294+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.054s]
[2025-04-13T17:44:56.378+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.059s]
[2025-04-13T17:44:56.466+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.061s]
[2025-04-13T17:44:56.584+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.083s]
[2025-04-13T17:44:56.683+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.068s]
[2025-04-13T17:44:56.799+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.080s]
[2025-04-13T17:44:56.892+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.063s]
[2025-04-13T17:44:56.997+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.075s]
[2025-04-13T17:44:57.092+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.061s]
[2025-04-13T17:44:57.197+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.069s]
[2025-04-13T17:44:57.302+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.077s]
[2025-04-13T17:44:57.387+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.057s]
[2025-04-13T17:44:57.466+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.053s]
[2025-04-13T17:44:57.545+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.053s]
[2025-04-13T17:44:57.630+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.060s]
[2025-04-13T17:44:57.772+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.106s]
[2025-04-13T17:44:57.924+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.116s]
[2025-04-13T17:44:58.051+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.097s]
[2025-04-13T17:44:58.154+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.075s]
[2025-04-13T17:44:58.247+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.060s]
[2025-04-13T17:44:58.327+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.053s]
[2025-04-13T17:44:58.439+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.088s]
[2025-04-13T17:44:58.526+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.062s]
[2025-04-13T17:44:58.614+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.059s]
[2025-04-13T17:44:58.710+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.073s]
[2025-04-13T17:44:58.805+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.067s]
[2025-04-13T17:44:58.910+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.078s]
[2025-04-13T17:44:59.019+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.069s]
[2025-04-13T17:44:59.115+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.064s]
[2025-04-13T17:44:59.196+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.052s]
[2025-04-13T17:44:59.277+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.057s]
[2025-04-13T17:44:59.375+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.068s]
[2025-04-13T17:44:59.486+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.082s]
[2025-04-13T17:44:59.594+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.083s]
[2025-04-13T17:44:59.699+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.080s]
[2025-04-13T17:44:59.831+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.093s]
[2025-04-13T17:44:59.943+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.088s]
[2025-04-13T17:45:00.087+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.109s]
[2025-04-13T17:45:00.221+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.094s]
[2025-04-13T17:45:00.340+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.085s]
[2025-04-13T17:45:00.442+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.066s]
[2025-04-13T17:45:00.561+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.087s]
[2025-04-13T17:45:00.662+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.072s]
[2025-04-13T17:45:00.765+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.075s]
[2025-04-13T17:45:00.847+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.056s]
[2025-04-13T17:45:00.942+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.068s]
[2025-04-13T17:45:01.027+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.058s]
[2025-04-13T17:45:01.149+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.096s]
[2025-04-13T17:45:01.232+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.058s]
[2025-04-13T17:45:01.338+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.075s]
[2025-04-13T17:45:01.446+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.079s]
[2025-04-13T17:45:01.556+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.081s]
[2025-04-13T17:45:02.027+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.428s]
[2025-04-13T17:45:02.124+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.063s]
[2025-04-13T17:45:02.277+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.116s]
[2025-04-13T17:45:02.454+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.141s]
[2025-04-13T17:45:02.735+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.240s]
[2025-04-13T17:45:02.906+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.113s]
[2025-04-13T17:45:03.338+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.391s]
[2025-04-13T17:45:03.513+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.134s]
[2025-04-13T17:45:03.636+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.086s]
[2025-04-13T17:45:03.781+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.107s]
[2025-04-13T17:45:03.936+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.114s]
[2025-04-13T17:45:04.140+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.137s]
[2025-04-13T17:45:04.401+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.205s]
[2025-04-13T17:45:04.706+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.262s]
[2025-04-13T17:45:04.939+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.159s]
[2025-04-13T17:45:05.147+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.146s]
[2025-04-13T17:45:05.306+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.122s]
[2025-04-13T17:45:05.414+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.068s]
[2025-04-13T17:45:05.529+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.086s]
[2025-04-13T17:45:05.627+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.070s]
[2025-04-13T17:45:05.745+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.078s]
[2025-04-13T17:45:05.845+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.066s]
[2025-04-13T17:45:05.931+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.060s]
[2025-04-13T17:45:06.050+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.090s]
[2025-04-13T17:45:06.138+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.063s]
[2025-04-13T17:45:06.238+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.073s]
[2025-04-13T17:45:06.347+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.084s]
[2025-04-13T17:45:06.430+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.056s]
[2025-04-13T17:45:06.565+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.096s]
[2025-04-13T17:45:06.683+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.092s]
[2025-04-13T17:45:06.804+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.091s]
[2025-04-13T17:45:06.892+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.061s]
[2025-04-13T17:45:06.988+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.071s]
[2025-04-13T17:45:07.099+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.082s]
[2025-04-13T17:45:07.182+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.055s]
[2025-04-13T17:45:07.286+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.079s]
